PC Teal                    Stack
1
4  byte "Hello World!"     "Hello World!"
18 dup                     "Hello World!", "Hello World!"
19 swap                    "Hello World!", "Hello World!"
20 dup                     "Hello World!", "Hello World!", "Hello World!"
21 len                     "Hello World!", "Hello World!", 12
22 itob                    "Hello World!", "Hello World!", 0x000000000000000C
23 extract 6 2             "Hello World!", "Hello World!", 0x000C
26 dig 1                   "Hello World!", "Hello World!", 0x000C, "Hello World!"
28 concat                  "Hello World!", "Hello World!", 0x000C48656C6C6F20576F726C6421
29 dup                     "Hello World!", "Hello World!", 0x000C48656C6C6F20576F726C6421, 0x000C48656C6C6F20576F726C6421
30 cover 2                 "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421
32 dup                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421, 0x000C48656C6C6F20576F726C6421
33 extract 2 0             "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!"
36 cover 2                 "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", "Hello World!", 0x000C48656C6C6F20576F726C6421
38 dup                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", "Hello World!", 0x000C48656C6C6F20576F726C6421, 0x000C48656C6C6F20576F726C6421
39 cover 2                 "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421
41 !=                      "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421, 1
42 assert                  "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 0x000C48656C6C6F20576F726C6421
43 len                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14
44 dup                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 14
45 swap                    "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 14
46 int 2                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 14, 2
47 >                       "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 1
48 bz main_ternary_false@2 "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14
51 int 2                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2
52 b main_ternary_merge@3  "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2
56 dig 3                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2, 0x000C48656C6C6F20576F726C6421
58 dup                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2, 0x000C48656C6C6F20576F726C6421, 0x000C48656C6C6F20576F726C6421
59 len                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2, 0x000C48656C6C6F20576F726C6421, 14
60 swap                    "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 2, 14, 0x000C48656C6C6F20576F726C6421
61 uncover 2               "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 14, 0x000C48656C6C6F20576F726C6421, 2
63 uncover 2               "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 0x000C48656C6C6F20576F726C6421, 2, 14
65 substring3              "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!"
66 dig 4                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!", "Hello World!"
68 dup                     "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!", "Hello World!", "Hello World!"
69 cover 2                 "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!", "Hello World!", "Hello World!"
71 ==                      "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!", 1
72 assert                  "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!"
73 dig 2                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, "Hello World!", "Hello World!"
75 ==                      "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 1
76 assert                  "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14
77 int 1                   "Hello World!", 0x000C48656C6C6F20576F726C6421, "Hello World!", 14, 1
79 return                  1
