PC  Teal                                                            Stack
1   #pragma version 8
10  callsub test_self_ref_phi
135 proto 0 1
138 int 1                                                           1
139 frame_dig 0                                                     1, 1
141 int 100                                                         1, 1, 100
142 <                                                               1, 1
143 bz test_self_ref_phi_after_while@7                              1
146 frame_dig 0                                                     1, 1
148 int 105                                                         1, 1, 105
150 %                                                               1, 1
151 !                                                               1, 0
152 bz test_self_ref_phi_after_if_else@4                            1
158 frame_dig 0                                                     1, 1
160 int 21                                                          1, 1, 21
162 %                                                               1, 1
163 bz test_self_ref_phi_after_while@7                              1
166 frame_dig 0                                                     1, 1
168 int 1                                                           1, 1, 1
169 +                                                               1, 2
170 frame_bury 0                                                    2
172 b test_self_ref_phi_while_top@1                                 2
139 frame_dig 0                                                     2, 2
141 int 100                                                         2, 2, 100
142 <                                                               2, 1
143 bz test_self_ref_phi_after_while@7                              2
146 frame_dig 0                                                     2, 2
148 int 105                                                         2, 2, 105
150 %                                                               2, 2
151 !                                                               2, 0
152 bz test_self_ref_phi_after_if_else@4                            2
158 frame_dig 0                                                     2, 2
160 int 21                                                          2, 2, 21
162 %                                                               2, 2
163 bz test_self_ref_phi_after_while@7                              2
166 frame_dig 0                                                     2, 2
168 int 1                                                           2, 2, 1
169 +                                                               2, 3
170 frame_bury 0                                                    3
172 b test_self_ref_phi_while_top@1                                 3
139 frame_dig 0                                                     3, 3
141 int 100                                                         3, 3, 100
142 <                                                               3, 1
143 bz test_self_ref_phi_after_while@7                              3
146 frame_dig 0                                                     3, 3
148 int 105                                                         3, 3, 105
150 %                                                               3, 3
151 !                                                               3, 0
152 bz test_self_ref_phi_after_if_else@4                            3
158 frame_dig 0                                                     3, 3
160 int 21                                                          3, 3, 21
162 %                                                               3, 3
163 bz test_self_ref_phi_after_while@7                              3
166 frame_dig 0                                                     3, 3
168 int 1                                                           3, 3, 1
169 +                                                               3, 4
170 frame_bury 0                                                    4
172 b test_self_ref_phi_while_top@1                                 4
139 frame_dig 0                                                     4, 4
141 int 100                                                         4, 4, 100
142 <                                                               4, 1
143 bz test_self_ref_phi_after_while@7                              4
146 frame_dig 0                                                     4, 4
148 int 105                                                         4, 4, 105
150 %                                                               4, 4
151 !                                                               4, 0
152 bz test_self_ref_phi_after_if_else@4                            4
158 frame_dig 0                                                     4, 4
160 int 21                                                          4, 4, 21
162 %                                                               4, 4
163 bz test_self_ref_phi_after_while@7                              4
166 frame_dig 0                                                     4, 4
168 int 1                                                           4, 4, 1
169 +                                                               4, 5
170 frame_bury 0                                                    5
172 b test_self_ref_phi_while_top@1                                 5
139 frame_dig 0                                                     5, 5
141 int 100                                                         5, 5, 100
142 <                                                               5, 1
143 bz test_self_ref_phi_after_while@7                              5
146 frame_dig 0                                                     5, 5
148 int 105                                                         5, 5, 105
150 %                                                               5, 5
151 !                                                               5, 0
152 bz test_self_ref_phi_after_if_else@4                            5
158 frame_dig 0                                                     5, 5
160 int 21                                                          5, 5, 21
162 %                                                               5, 5
163 bz test_self_ref_phi_after_while@7                              5
166 frame_dig 0                                                     5, 5
168 int 1                                                           5, 5, 1
169 +                                                               5, 6
170 frame_bury 0                                                    6
172 b test_self_ref_phi_while_top@1                                 6
139 frame_dig 0                                                     6, 6
141 int 100                                                         6, 6, 100
142 <                                                               6, 1
143 bz test_self_ref_phi_after_while@7                              6
146 frame_dig 0                                                     6, 6
148 int 105                                                         6, 6, 105
150 %                                                               6, 6
151 !                                                               6, 0
152 bz test_self_ref_phi_after_if_else@4                            6
158 frame_dig 0                                                     6, 6
160 int 21                                                          6, 6, 21
162 %                                                               6, 6
163 bz test_self_ref_phi_after_while@7                              6
166 frame_dig 0                                                     6, 6
168 int 1                                                           6, 6, 1
169 +                                                               6, 7
170 frame_bury 0                                                    7
172 b test_self_ref_phi_while_top@1                                 7
139 frame_dig 0                                                     7, 7
141 int 100                                                         7, 7, 100
142 <                                                               7, 1
143 bz test_self_ref_phi_after_while@7                              7
146 frame_dig 0                                                     7, 7
148 int 105                                                         7, 7, 105
150 %                                                               7, 7
151 !                                                               7, 0
152 bz test_self_ref_phi_after_if_else@4                            7
158 frame_dig 0                                                     7, 7
160 int 21                                                          7, 7, 21
162 %                                                               7, 7
163 bz test_self_ref_phi_after_while@7                              7
166 frame_dig 0                                                     7, 7
168 int 1                                                           7, 7, 1
169 +                                                               7, 8
170 frame_bury 0                                                    8
172 b test_self_ref_phi_while_top@1                                 8
139 frame_dig 0                                                     8, 8
141 int 100                                                         8, 8, 100
142 <                                                               8, 1
143 bz test_self_ref_phi_after_while@7                              8
146 frame_dig 0                                                     8, 8
148 int 105                                                         8, 8, 105
150 %                                                               8, 8
151 !                                                               8, 0
152 bz test_self_ref_phi_after_if_else@4                            8
158 frame_dig 0                                                     8, 8
160 int 21                                                          8, 8, 21
162 %                                                               8, 8
163 bz test_self_ref_phi_after_while@7                              8
166 frame_dig 0                                                     8, 8
168 int 1                                                           8, 8, 1
169 +                                                               8, 9
170 frame_bury 0                                                    9
172 b test_self_ref_phi_while_top@1                                 9
139 frame_dig 0                                                     9, 9
141 int 100                                                         9, 9, 100
142 <                                                               9, 1
143 bz test_self_ref_phi_after_while@7                              9
146 frame_dig 0                                                     9, 9
148 int 105                                                         9, 9, 105
150 %                                                               9, 9
151 !                                                               9, 0
152 bz test_self_ref_phi_after_if_else@4                            9
158 frame_dig 0                                                     9, 9
160 int 21                                                          9, 9, 21
162 %                                                               9, 9
163 bz test_self_ref_phi_after_while@7                              9
166 frame_dig 0                                                     9, 9
168 int 1                                                           9, 9, 1
169 +                                                               9, 10
170 frame_bury 0                                                    10
172 b test_self_ref_phi_while_top@1                                 10
139 frame_dig 0                                                     10, 10
141 int 100                                                         10, 10, 100
142 <                                                               10, 1
143 bz test_self_ref_phi_after_while@7                              10
146 frame_dig 0                                                     10, 10
148 int 105                                                         10, 10, 105
150 %                                                               10, 10
151 !                                                               10, 0
152 bz test_self_ref_phi_after_if_else@4                            10
158 frame_dig 0                                                     10, 10
160 int 21                                                          10, 10, 21
162 %                                                               10, 10
163 bz test_self_ref_phi_after_while@7                              10
166 frame_dig 0                                                     10, 10
168 int 1                                                           10, 10, 1
169 +                                                               10, 11
170 frame_bury 0                                                    11
172 b test_self_ref_phi_while_top@1                                 11
139 frame_dig 0                                                     11, 11
141 int 100                                                         11, 11, 100
142 <                                                               11, 1
143 bz test_self_ref_phi_after_while@7                              11
146 frame_dig 0                                                     11, 11
148 int 105                                                         11, 11, 105
150 %                                                               11, 11
151 !                                                               11, 0
152 bz test_self_ref_phi_after_if_else@4                            11
158 frame_dig 0                                                     11, 11
160 int 21                                                          11, 11, 21
162 %                                                               11, 11
163 bz test_self_ref_phi_after_while@7                              11
166 frame_dig 0                                                     11, 11
168 int 1                                                           11, 11, 1
169 +                                                               11, 12
170 frame_bury 0                                                    12
172 b test_self_ref_phi_while_top@1                                 12
139 frame_dig 0                                                     12, 12
141 int 100                                                         12, 12, 100
142 <                                                               12, 1
143 bz test_self_ref_phi_after_while@7                              12
146 frame_dig 0                                                     12, 12
148 int 105                                                         12, 12, 105
150 %                                                               12, 12
151 !                                                               12, 0
152 bz test_self_ref_phi_after_if_else@4                            12
158 frame_dig 0                                                     12, 12
160 int 21                                                          12, 12, 21
162 %                                                               12, 12
163 bz test_self_ref_phi_after_while@7                              12
166 frame_dig 0                                                     12, 12
168 int 1                                                           12, 12, 1
169 +                                                               12, 13
170 frame_bury 0                                                    13
172 b test_self_ref_phi_while_top@1                                 13
139 frame_dig 0                                                     13, 13
141 int 100                                                         13, 13, 100
142 <                                                               13, 1
143 bz test_self_ref_phi_after_while@7                              13
146 frame_dig 0                                                     13, 13
148 int 105                                                         13, 13, 105
150 %                                                               13, 13
151 !                                                               13, 0
152 bz test_self_ref_phi_after_if_else@4                            13
158 frame_dig 0                                                     13, 13
160 int 21                                                          13, 13, 21
162 %                                                               13, 13
163 bz test_self_ref_phi_after_while@7                              13
166 frame_dig 0                                                     13, 13
168 int 1                                                           13, 13, 1
169 +                                                               13, 14
170 frame_bury 0                                                    14
172 b test_self_ref_phi_while_top@1                                 14
139 frame_dig 0                                                     14, 14
141 int 100                                                         14, 14, 100
142 <                                                               14, 1
143 bz test_self_ref_phi_after_while@7                              14
146 frame_dig 0                                                     14, 14
148 int 105                                                         14, 14, 105
150 %                                                               14, 14
151 !                                                               14, 0
152 bz test_self_ref_phi_after_if_else@4                            14
158 frame_dig 0                                                     14, 14
160 int 21                                                          14, 14, 21
162 %                                                               14, 14
163 bz test_self_ref_phi_after_while@7                              14
166 frame_dig 0                                                     14, 14
168 int 1                                                           14, 14, 1
169 +                                                               14, 15
170 frame_bury 0                                                    15
172 b test_self_ref_phi_while_top@1                                 15
139 frame_dig 0                                                     15, 15
141 int 100                                                         15, 15, 100
142 <                                                               15, 1
143 bz test_self_ref_phi_after_while@7                              15
146 frame_dig 0                                                     15, 15
148 int 105                                                         15, 15, 105
150 %                                                               15, 15
151 !                                                               15, 0
152 bz test_self_ref_phi_after_if_else@4                            15
158 frame_dig 0                                                     15, 15
160 int 21                                                          15, 15, 21
162 %                                                               15, 15
163 bz test_self_ref_phi_after_while@7                              15
166 frame_dig 0                                                     15, 15
168 int 1                                                           15, 15, 1
169 +                                                               15, 16
170 frame_bury 0                                                    16
172 b test_self_ref_phi_while_top@1                                 16
139 frame_dig 0                                                     16, 16
141 int 100                                                         16, 16, 100
142 <                                                               16, 1
143 bz test_self_ref_phi_after_while@7                              16
146 frame_dig 0                                                     16, 16
148 int 105                                                         16, 16, 105
150 %                                                               16, 16
151 !                                                               16, 0
152 bz test_self_ref_phi_after_if_else@4                            16
158 frame_dig 0                                                     16, 16
160 int 21                                                          16, 16, 21
162 %                                                               16, 16
163 bz test_self_ref_phi_after_while@7                              16
166 frame_dig 0                                                     16, 16
168 int 1                                                           16, 16, 1
169 +                                                               16, 17
170 frame_bury 0                                                    17
172 b test_self_ref_phi_while_top@1                                 17
139 frame_dig 0                                                     17, 17
141 int 100                                                         17, 17, 100
142 <                                                               17, 1
143 bz test_self_ref_phi_after_while@7                              17
146 frame_dig 0                                                     17, 17
148 int 105                                                         17, 17, 105
150 %                                                               17, 17
151 !                                                               17, 0
152 bz test_self_ref_phi_after_if_else@4                            17
158 frame_dig 0                                                     17, 17
160 int 21                                                          17, 17, 21
162 %                                                               17, 17
163 bz test_self_ref_phi_after_while@7                              17
166 frame_dig 0                                                     17, 17
168 int 1                                                           17, 17, 1
169 +                                                               17, 18
170 frame_bury 0                                                    18
172 b test_self_ref_phi_while_top@1                                 18
139 frame_dig 0                                                     18, 18
141 int 100                                                         18, 18, 100
142 <                                                               18, 1
143 bz test_self_ref_phi_after_while@7                              18
146 frame_dig 0                                                     18, 18
148 int 105                                                         18, 18, 105
150 %                                                               18, 18
151 !                                                               18, 0
152 bz test_self_ref_phi_after_if_else@4                            18
158 frame_dig 0                                                     18, 18
160 int 21                                                          18, 18, 21
162 %                                                               18, 18
163 bz test_self_ref_phi_after_while@7                              18
166 frame_dig 0                                                     18, 18
168 int 1                                                           18, 18, 1
169 +                                                               18, 19
170 frame_bury 0                                                    19
172 b test_self_ref_phi_while_top@1                                 19
139 frame_dig 0                                                     19, 19
141 int 100                                                         19, 19, 100
142 <                                                               19, 1
143 bz test_self_ref_phi_after_while@7                              19
146 frame_dig 0                                                     19, 19
148 int 105                                                         19, 19, 105
150 %                                                               19, 19
151 !                                                               19, 0
152 bz test_self_ref_phi_after_if_else@4                            19
158 frame_dig 0                                                     19, 19
160 int 21                                                          19, 19, 21
162 %                                                               19, 19
163 bz test_self_ref_phi_after_while@7                              19
166 frame_dig 0                                                     19, 19
168 int 1                                                           19, 19, 1
169 +                                                               19, 20
170 frame_bury 0                                                    20
172 b test_self_ref_phi_while_top@1                                 20
